valid test correct_pct error improvement
0 1 97.72727272727273 138 0.09746 0.09517
0 2 93.18181818181817 111 0.11237 0.09584
0 3 97.72727272727273  84 0.09305 0.08939
0 4 93.18181818181817  13 0.24244 0.09739
0 5 88.63636363636364 103 0.11755 0.09535
0 6 86.36363636363636  96 0.12266 0.09650
0 7 95.45454545454545  62 0.11646 0.09549
0 8 86.36363636363636 123 0.11669 0.09945
0 9 94.11764705882352 197 0.08704 0.09995
1 0 97.72727272727273 131 0.09273 0.09925
1 2 93.18181818181817 122 0.09055 0.09852
1 3 95.45454545454545  76 0.08865 0.09976
1 4 90.9090909090909   89 0.09987 0.09666
1 5 88.63636363636364  69 0.09335 0.09625
1 6 90.9090909090909  239 0.05744 0.09458
1 7 90.9090909090909  175 0.08644 0.09725
1 8 95.45454545454545 101 0.07836 0.09865
1 9 96.07843137254902 121 0.08893 0.09251
2 0 90.9090909090909   66 0.12094 0.08362
2 1 95.45454545454545  93 0.09170 0.09954
2 1 95.45454545454545  93 0.09170 0.09954
2 3 95.45454545454545 119 0.10941 0.09698
2 4 90.9090909090909  118 0.07976 0.09899
2 5 93.18181818181817 199 0.09260 0.09953
2 6 86.36363636363636 108 0.09694 0.09196
2 7 93.18181818181817 105 0.13461 0.09967
2 8 86.36363636363636 150 0.09923 0.09953
2 9 94.11764705882352 148 0.09441 0.09902
3 0 93.18181818181817 118 0.12402 0.09807
3 1 97.72727272727273 134 0.10305 0.09962
3 2 95.45454545454545 114 0.09693 0.09327
3 4 90.9090909090909   91 0.12927 0.09127
3 5 88.63636363636364 193 0.09004 0.09924
3 6 86.36363636363636 103 0.10217 0.09995
3 7 93.18181818181817  88 0.11484 0.09881
3 8 95.45454545454545 250 0.08874 0.09775
3 9 96.07843137254902  86 0.10990 0.08991
4 0 97.72727272727273 134 0.08882 0.09915
4 1 88.63636363636364  11 0.22790 0.02168
4 2 93.18181818181817  76 0.11734 0.08537
4 3 93.18181818181817  10 0.22948 0.08303
4 5 93.18181818181817 130 0.10386 0.09948
4 6 93.18181818181817 230 0.08412 0.09928
4 7 93.18181818181817  83 0.12644 0.09899
4 8 93.18181818181817  89 0.10380 0.09702
4 9 98.0392156862745  102 0.11310 0.09997
5 0 84.0909090909091   11 0.24188 0.04249
5 1 88.63636363636364  10 0.24326 0.07716
5 2 100.0              71 0.11822 0.09631
5 3 90.9090909090909   10 0.24072 0.06108
5 4 93.18181818181817  10 0.24100 0.08890
5 6 84.0909090909091    9 0.24003 -0.0151
5 7 93.18181818181817  11 0.23894 0.05169
5 8 81.81818181818183   9 0.24349 -0.0461
5 9 88.23529411764706  11 0.23857 0.05101
6 0 93.18181818181817 170 0.10194 0.09908
6 1 100.0             120 0.09550 0.09389
6 2 93.18181818181817  94 0.14283 0.09928
6 3 95.45454545454545  86 0.13027 0.09764
6 4 95.45454545454545 168 0.09345 0.09916
6 5 90.9090909090909  102 0.15096 0.09630
6 7 95.45454545454545 144 0.10936 0.09447
6 8 90.9090909090909  114 0.12426 0.09330
6 9 94.11764705882352 173 0.09569 0.09914
7 0 95.45454545454545  87 0.07971 0.09975
7 1 97.72727272727273 110 0.08878 0.09598
7 2 97.72727272727273 104 0.09158 0.09931
7 3 90.9090909090909  119 0.06699 0.09456
7 4 97.72727272727273 264 0.06261 0.09933
7 5 93.18181818181817 142 0.08473 0.09463
7 6 90.9090909090909  122 0.08429 0.09998
7 8 97.72727272727273  94 0.07919 0.09743
7 9 98.0392156862745  122 0.08803 0.09974
8 0 97.72727272727273 137 0.11263 0.09764
8 1 95.45454545454545 193 0.09904 0.09846
8 2 93.18181818181817 136 0.12130 0.09987
8 3 93.18181818181817 112 0.11069 0.09444
8 4 90.9090909090909   94 0.13030 0.09735
8 5 88.63636363636364 137 0.10558 0.09950
8 6 88.63636363636364 193 0.10121 0.09921
8 7 93.18181818181817 132 0.11351 0.09939
8 9 94.11764705882352 121 0.10503 0.09800
9 0 95.45454545454545 132 0.08162 0.09808
9 1 90.9090909090909  172 0.07330 0.09865
9 2 97.72727272727273 134 0.07894 0.09979
9 3 97.72727272727273 110 0.09042 0.09774
9 4 90.9090909090909   91 0.08902 0.08676
9 5 86.36363636363636 123 0.08700 0.09953
9 6 90.9090909090909  183 0.07770 0.09747
9 7 95.45454545454545 151 0.06916 0.09731
9 8 86.36363636363636 146 0.08393 0.09298
